Wall time,Step,Value
1766098544.5905142,2048,0.3620491921901703
1766098547.3098304,4096,2.5203771591186523
1766098550.482098,6144,6.169952392578125
1766098553.6043396,8192,8.90883731842041
1766098556.5627477,10240,15.39907455444336
1766098559.2590356,12288,24.35885238647461
1766098562.5044322,14336,33.1915397644043
1766098568.9220624,16384,48.825035095214844
1766098575.482702,18432,61.735443115234375
1766098581.9060638,20480,81.09232330322266
1766098588.510709,22528,99.41621398925781
1766098596.962069,24576,118.142822265625
1766098605.0143354,26624,132.75677490234375
1766098612.9403691,28672,143.8490753173828
1766098620.8304455,30720,155.79483032226562
1766098626.7108934,32768,168.48507690429688
1766098630.4605367,34816,177.1599578857422
1766098633.934735,36864,186.05517578125
1766098636.8925667,38912,191.9390106201172
1766098639.8385904,40960,202.01144409179688
1766098642.6361778,43008,215.12815856933594
1766098645.3989518,45056,219.41729736328125
1766098648.3302252,47104,226.61468505859375
1766098651.0582922,49152,236.2437286376953
1766098653.9021437,51200,251.1708221435547
1766098656.569838,53248,254.56900024414062
1766098659.4760597,55296,264.5518798828125
1766098662.1153693,57344,269.6729431152344
1766098664.7331378,59392,279.2420654296875
1766098667.3444068,61440,271.1739501953125
1766098670.1406646,63488,276.5624694824219
1766098672.8889832,65536,285.6497497558594
1766098675.693951,67584,288.1241455078125
1766098678.7487307,69632,286.8136901855469
1766098681.514136,71680,292.7889709472656
1766098684.3103216,73728,289.5069580078125
1766098686.9689462,75776,294.6500244140625
1766098689.7273986,77824,292.7467956542969
1766098692.5828626,79872,299.746826171875
1766098695.419371,81920,310.3178405761719
1766098698.022533,83968,314.5028381347656
1766098700.633861,86016,317.759033203125
1766098703.2344637,88064,325.481201171875
1766098705.8929482,90112,332.8003234863281
1766098708.542469,92160,336.1395263671875
1766098711.2393427,94208,345.3993225097656
1766098714.0242329,96256,345.28924560546875
1766098716.8272266,98304,354.10675048828125
1766098719.476313,100352,360.2130126953125
1766098722.1822898,102400,361.52557373046875
1766098724.8475885,104448,365.0435485839844
1766098727.6115894,106496,373.63653564453125
1766098730.2267153,108544,374.5721435546875
1766098732.901709,110592,372.4419250488281
1766098735.5256836,112640,373.6268310546875
1766098738.2498767,114688,377.52191162109375
1766098740.924581,116736,378.8633117675781
1766098743.80304,118784,383.1800842285156
1766098746.4268887,120832,381.5377197265625
1766098749.211367,122880,384.5744934082031
1766098751.92201,124928,387.6082458496094
1766098754.741478,126976,388.440185546875
1766098757.5168269,129024,391.6247253417969
1766098760.238399,131072,394.42425537109375
1766098762.9582703,133120,401.96954345703125
1766098765.7808514,135168,404.4912109375
1766098768.5121756,137216,409.74298095703125
1766098771.6317728,139264,412.5157165527344
1766098774.3556187,141312,418.8368835449219
1766098777.255733,143360,423.0013732910156
1766098780.11789,145408,425.5757141113281
1766098782.7323353,147456,430.47967529296875
1766098785.5851636,149504,438.6427001953125
1766098788.2881286,151552,443.3935241699219
1766098791.0902045,153600,451.0013732910156
1766098793.6645112,155648,453.6269226074219
1766098796.5589695,157696,456.83245849609375
1766098799.236164,159744,458.5701599121094
1766098802.232821,161792,461.08868408203125
1766098805.0267882,163840,463.74639892578125
1766098807.8763213,165888,468.293212890625
1766098810.5017898,167936,474.4769287109375
1766098813.3529403,169984,473.3914794921875
1766098816.0408664,172032,476.366455078125
1766098818.894255,174080,482.34063720703125
1766098821.5242486,176128,487.44073486328125
1766098824.316445,178176,491.96917724609375
1766098826.9415343,180224,496.0321960449219
1766098829.6940405,182272,504.5573425292969
1766098832.6155987,184320,511.6698303222656
1766098835.2248285,186368,518.9529418945312
1766098838.342601,188416,524.42626953125
1766098841.2721841,190464,529.4844360351562
1766098844.2189863,192512,538.9019775390625
1766098846.833756,194560,547.048095703125
1766098850.0565803,196608,555.906982421875
1766098853.0161617,198656,564.6033935546875
1766098856.0761545,200704,572.0422973632812
