Wall time,Step,Value
1765995622.8543227,2048,-1.187896490097046
1765995624.9820054,4096,2.018186092376709
1765995627.4561868,6144,4.153595447540283
1765995629.8556776,8192,11.08006477355957
1765995632.1900222,10240,20.339336395263672
1765995634.462926,12288,26.87900161743164
1765995636.8982253,14336,42.025596618652344
1765995639.3678591,16384,61.190399169921875
1765995641.8876917,18432,76.4864730834961
1765995644.2880168,20480,93.88243865966797
1765995646.7068105,22528,118.15076446533203
1765995648.9653394,24576,142.39584350585938
1765995651.2654052,26624,165.81375122070312
1765995653.553637,28672,187.33712768554688
1765995655.978605,30720,201.50990295410156
1765995658.1443763,32768,211.84521484375
1765995660.295578,34816,225.70025634765625
1765995662.6042728,36864,242.43133544921875
1765995664.7864282,38912,256.2809143066406
1765995666.965781,40960,263.0799560546875
1765995669.1056054,43008,272.7017517089844
1765995671.4056203,45056,272.2227783203125
1765995673.7043903,47104,273.3777160644531
1765995677.8472583,49152,278.9252014160156
1765995680.77407,51200,291.0802001953125
1765995683.839423,53248,294.1103210449219
1765995687.215356,55296,301.6212463378906
1765995690.596415,57344,305.0111389160156
1765995693.6265435,59392,310.0959777832031
1765995696.1788187,61440,316.1943359375
1765995698.9561763,63488,321.685302734375
1765995702.337308,65536,329.752197265625
1765995705.8228056,67584,333.032470703125
1765995708.7435465,69632,338.95672607421875
1765995711.5265017,71680,345.946044921875
1765995714.2141259,73728,356.93304443359375
1765995717.2109134,75776,365.6438293457031
1765995719.9442625,77824,375.7525634765625
1765995722.864238,79872,381.7670593261719
1765995725.7940931,81920,386.598388671875
1765995729.3449876,83968,391.0234375
1765995733.3143392,86016,401.8628234863281
1765995736.5887249,88064,408.31036376953125
1765995739.205169,90112,409.4532775878906
1765995745.1040962,92160,412.42730712890625
1765995748.9575922,94208,428.11566162109375
1765995755.5833948,96256,429.1337890625
1765995761.4222322,98304,445.5575866699219
1765995765.9638233,100352,458.4966125488281
1765995773.8326771,102400,479.4233703613281
1765995780.6287396,104448,492.4576110839844
1765995784.1284466,106496,502.3753967285156
1765995786.9288118,108544,515.340087890625
1765995790.0808635,110592,538.5504760742188
1765995793.2992034,112640,565.6478271484375
1765995796.9488904,114688,596.67431640625
1765995800.0343897,116736,629.098876953125
1765995803.1702,118784,649.4552612304688
1765995806.02228,120832,676.82421875
1765995809.7486317,122880,693.832275390625
1765995812.8165586,124928,722.8043212890625
1765995817.1491342,126976,741.2066650390625
1765995820.6229265,129024,752.558837890625
1765995823.9296649,131072,774.60595703125
1765995827.3887608,133120,785.9251708984375
1765995830.9088206,135168,810.1043090820312
1765995834.4402127,137216,848.1473388671875
1765995838.0386276,139264,856.7511596679688
1765995841.418134,141312,882.615478515625
1765995844.6384327,143360,908.766845703125
1765995847.840242,145408,936.0446166992188
1765995851.5103066,147456,949.457275390625
1765995854.7302291,149504,975.7622680664062
1765995858.4090996,151552,963.6210327148438
1765995862.0390768,153600,968.5088500976562
1765995865.7154586,155648,986.78955078125
1765995868.4493783,157696,1002.3941650390625
1765995871.8487885,159744,991.313232421875
1765995875.3891318,161792,983.71923828125
1765995877.9715173,163840,982.488525390625
1765995881.0071192,165888,986.9076538085938
1765995883.836185,167936,1003.940185546875
1765995887.2816846,169984,999.8117065429688
1765995890.155145,172032,984.72607421875
1765995893.1601415,174080,982.7181396484375
1765995896.351796,176128,968.1961059570312
1765995899.26483,178176,947.955322265625
1765995902.8218734,180224,951.2509155273438
1765995905.6587596,182272,928.5371704101562
1765995909.2490263,184320,942.2508544921875
1765995912.4036195,186368,922.5028076171875
1765995915.4512453,188416,920.66845703125
1765995918.819674,190464,927.6138305664062
1765995921.6479998,192512,947.4149780273438
1765995925.4298542,194560,944.50244140625
1765995928.5841658,196608,948.0050659179688
1765995931.6394699,198656,941.90234375
1765995935.5285594,200704,964.958984375
1765995939.1300178,202752,967.5633544921875
1765995943.4689186,204800,1008.7864990234375
1765995947.2223918,206848,1017.5377197265625
1765995952.2379527,208896,1043.2796630859375
1765995956.5296884,210944,1063.51513671875
1765995961.4308155,212992,1095.1136474609375
1765995965.6040218,215040,1100.3065185546875
1765995969.8290718,217088,1121.992919921875
1765995972.818848,219136,1139.618408203125
1765995976.6583767,221184,1168.5491943359375
1765995979.8632147,223232,1217.4873046875
1765995984.438148,225280,1243.6856689453125
1765995987.8684528,227328,1267.726806640625
1765995992.1289957,229376,1313.8961181640625
1765995996.2280586,231424,1322.61279296875
1765995999.8478909,233472,1373.6915283203125
1765996004.3200326,235520,1420.0118408203125
1765996008.0460317,237568,1485.68408203125
1765996011.288842,239616,1527.322998046875
1765996016.3628893,241664,1526.159423828125
1765996020.5033627,243712,1552.770751953125
1765996023.8689167,245760,1571.0880126953125
1765996028.6164334,247808,1588.336669921875
1765996031.7581055,249856,1615.1807861328125
1765996035.9289532,251904,1593.1981201171875
1765996039.6611855,253952,1641.3056640625
1765996042.8235147,256000,1691.6357421875
1765996046.1099799,258048,1690.3984375
1765996049.6801577,260096,1711.374267578125
1765996053.0900984,262144,1744.509033203125
1765996057.3230898,264192,1745.7894287109375
1765996063.068692,266240,1789.36767578125
1765996068.5599504,268288,1813.7816162109375
1765996073.3439517,270336,1828.3370361328125
1765996076.7500916,272384,1835.0
1765996079.642803,274432,1891.401611328125
1765996082.6397436,276480,1882.197509765625
1765996085.9596822,278528,1896.59716796875
1765996088.793211,280576,1892.3035888671875
1765996092.0546467,282624,1871.22412109375
1765996096.0340881,284672,1866.341064453125
1765996099.9845893,286720,1825.25
1765996104.5066226,288768,1795.844482421875
1765996108.4488227,290816,1804.84130859375
1765996112.95153,292864,1804.0782470703125
1765996117.0380144,294912,1816.8065185546875
1765996120.9690335,296960,1862.27294921875
1765996124.3921943,299008,1867.858642578125
1765996128.8832717,301056,1877.2109375
1765996133.0396867,303104,1876.5233154296875
1765996137.072859,305152,1912.93505859375
1765996141.0630453,307200,1928.2572021484375
1765996144.7086463,309248,1925.75927734375
1765996148.266126,311296,1956.721435546875
1765996152.5814579,313344,1986.127197265625
1765996157.1756485,315392,1973.037353515625
1765996161.153315,317440,1953.3978271484375
1765996165.6921892,319488,1912.62890625
1765996169.4890153,321536,1907.15673828125
1765996174.1088555,323584,1912.6719970703125
1765996176.9250457,325632,1942.2353515625
1765996181.4971788,327680,1924.62890625
1765996186.1508334,329728,1958.4847412109375
1765996189.1497571,331776,1982.9940185546875
1765996192.4089577,333824,1996.974365234375
1765996195.6729496,335872,2025.3370361328125
1765996200.9308264,337920,2067.947509765625
1765996205.2490478,339968,2125.520263671875
1765996208.5863178,342016,2156.90283203125
1765996211.9790277,344064,2191.607666015625
1765996215.3088474,346112,2237.3056640625
1765996220.359688,348160,2250.092529296875
1765996224.3996885,350208,2262.71142578125
1765996229.1687477,352256,2276.859130859375
1765996235.868765,354304,2333.2080078125
1765996239.958101,356352,2345.673095703125
1765996243.2220101,358400,2329.589599609375
1765996247.055213,360448,2356.74267578125
